"scientific_name","family","taxonrank","gbif_rec"
"Pristimantis palmeri (Boulenger, 1912)","Craugastoridae","SPECIES","1229"
"Oophaga lehmanni (Myers & Daly, 1976)","Dendrobatidae","SPECIES","562"
"Pristimantis achatinus (Boulenger, 1898)","Craugastoridae","SPECIES","549"
"Pristimantis Jiménez de la Espada, 1870","Craugastoridae","GENUS","475"
"Pristimantis erythropleura (Boulenger, 1896)","Craugastoridae","SPECIES","379"
"Craugastor raniformis (Boulenger, 1896)","Craugastoridae","SPECIES","367"
"Bolitoglossa walkeri Brame & Wake, 1972","Plethodontidae","SPECIES","358"
"Smilisca phaeota (Cope, 1862)","Hylidae","SPECIES","340"
"Dendropsophus columbianus (Boettger, 1892)","Hylidae","SPECIES","309"
"Andinobates bombetes (Myers & Daly, 1980)","Dendrobatidae","SPECIES","301"
"Phyllobates terribilis Myers, Daly & Malkin, 1978","Dendrobatidae","SPECIES","289"
"Eleutherodactylus erythropleura (Boulenger, 1896)","Craugastoridae","SPECIES","246"
"Andinobates minutus (Shreve, 1935)","Dendrobatidae","SPECIES","219"
"Colostethus fraterdanieli Silverstone, 1971","Dendrobatidae","SPECIES","205"
"Rhinella horribilis (Wiegmann, 1833)","Bufonidae","SPECIES","186"
"Pristimantis calcaratus (Boulenger, 1908)","Craugastoridae","SPECIES","180"
"Craugastor longirostris (Boulenger, 1898)","Craugastoridae","SPECIES","179"
"Pristimantis w-nigrum (Boettger, 1892)","Craugastoridae","SPECIES","174"
"Pristimantis orpacobates (Lynch, Ruiz-Carranza & Ardila-Robayo, 1994)","Craugastoridae","SPECIES","165"
"Pristimantis brevifrons (Lynch, 1981)","Craugastoridae","SPECIES","164"
"Rhaebo haematiticus (Cope, 1862)","Bufonidae","SPECIES","161"
"Leucostethus fraterdanieli (Silverstone, 1971)","Dendrobatidae","SPECIES","153"
"Eleutherodactylus Duméril & Bibron, 1841","Eleutherodactylidae","GENUS","144"
"Nymphargus ignotus (Lynch, 1990)","Centrolenidae","SPECIES","144"
"Rhinella marina (Linnaeus, 1758)","Bufonidae","SPECIES","143"
"Pristimantis gracilis (Lynch, 1986)","Craugastoridae","SPECIES","143"
"Pristimantis piceus (Lynch, Ruiz-Carranza & Ardila-Robayo, 1996)","Craugastoridae","SPECIES","139"
"Pristimantis acatallelus (Lynch & Ruiz-Carranza, 1983)","Craugastoridae","SPECIES","135"
"Lithobates catesbeianus (Shaw, 1802)","Ranidae","SPECIES","135"
"Pristimantis thectopternus (Lynch, 1975)","Craugastoridae","SPECIES","129"
"Epipedobates boulengeri (Barbour, 1909)","Dendrobatidae","SPECIES","125"
"Espadarana prosoblepon (Boettger, 1892)","Centrolenidae","SPECIES","118"
"Pristimantis peraticus (Lynch, 1980)","Craugastoridae","SPECIES","112"
"Pristimantis boulengeri (Lynch, 1981)","Craugastoridae","SPECIES","110"
"Pristimantis latidiscus (Boulenger, 1898)","Craugastoridae","SPECIES","100"
"Pristimantis ptochus (Lynch, 1998)","Craugastoridae","SPECIES","95"
"Diasporus gularis (Boulenger, 1898)","Eleutherodactylidae","SPECIES","91"
