"locality","species_richness","gbif_records","latitude","longitude"
NULL,"57","1056","3.25","-77.264046"
"Alto Anchicayá - El Descanso (Doña Dora)","44","15318","3.53471","-76.75358"
"Finca Alejandría ""El Paraiso de Los Colibries""","41","13135","3.539459","-76.60638"
"Bosque de San Antonio (Cerro de la Horqueta)","40","3588","3.489853","-76.6269"
"Alto Anchicayá","38","967","3.534556","-76.87815"
"Carreterra Buenaventura--Km 48-60","38","1095","3.525015","-76.740906"
"La Florida - Bosque de Las Aves","37","8096","3.528089","-76.61703"
"RN Rio Bravo--Entrada","36","1236","3.881944","-76.562416"
"Bosque de Niebla Km. 18","36","5521","3.532399","-76.61221"
"Reserva Natural Comunitaria Cerro El Inglés","35","636","4.741488","-76.296005"
"Via Antigua a Buenaventura","35","2177","3.608735","-76.8846"
"Vereda Chicoral","35","2734","3.574758","-76.58129"
"RN Rio Bravo--Carretera","34","2295","3.888061","-76.6017"
"RN Madhú","33","1165","3.628431","-76.16426"
"Finca La Araucana","33","3599","3.56699","-76.67878"
"Ecolodge La Minga (acceso restringido)","33","6166","3.56647","-76.58538"
"Parque Natural Nacional - Ucumarí","31","31","4.679711","-75.8333"
"Finca La Conchita","30","2545","3.528202","-76.61335"
"RN El Danubio","29","1025","3.408498","-76.64959"
"Finca Bosque de Niebla","29","7231","3.530235","-76.61285"
"RN Forestal Bosque de Yotoco","28","469","3.86873","-76.4311"
"Mirador de Tenerife","28","780","3.741875","-76.07874"
"Bajo Anchicayá - Ladrilleros","28","780","3.61792","-76.91308"
"RNSC San Felipe","28","1117","3.51858","-76.61845"
"Mirador Verdeplata","27","217","3.430371","-76.65804"
"RN Nirvana","27","477","3.476034","-76.190186"
"Alto Anchicayá - Quebrada Los Caleños","26","261","3.565273","-76.75777"
"Alto Anchicayá - El Danubio","26","305","3.606614","-76.87972"
"PNN Farallones de Cali--Cañon del Pato","26","422","3.326644","-76.656075"
"RN San Cipriano-Escalerete","26","2742","3.829627","-76.89197"
"PNN Farallones de Cali--Queremal","25","80","3.500851","-76.72146"
"Mirador Barlovento","25","240","3.46532","-76.18603"
"Carretera Vieja Buenaventura--Km 60-76","25","310","3.616087","-76.88397"
"PNN Farallones de Cali--Yatacue","25","461","3.574714","-76.87943"
"Balcón de los Colibríes","25","1123","3.326917","-76.621185"
"PNN Farallones de Cali--Camino a Pico Pance","24","59","3.332258","-76.664055"
"Pichindé (corregimiento)","24","118","3.433511","-76.61456"
"ZYGIA, Estación Biológica ICESI","24","148","3.442223","-76.66347"
"Via Dapa-Chicoral (El Filo)","24","350","3.569901","-76.57603"
"Paso Galapagos--Camino Galapagos","24","384","4.83131","-76.18102"
"Reserva Forestal Natural del Río Guadalajara de Buga","24","417","3.875481","-76.17392"
"PNN Tatamá--Águila Valle","23","31","4.952013","-76.08284"
"km 18","23","109","3.518147","-76.62"
"PNN Farallones de Cali--El Topacio a Pico de Loro","23","171","3.315044","-76.63857"
"Centro de Educación Ambiental La Teresita","23","302","3.449194","-76.66126"
"Hacienda Los Morales, Dapa","23","567","3.579831","-76.5721"
"Hacienda El Paraíso","23","605","3.641108","-76.492004"
"Finca Debusale","23","816","3.560504","-76.57638"
"Santa Lucia, Casa El Establo","22","43","3.535672","-76.6089"
"Finca La Aurora","22","130","3.32237","-76.623375"
"El Nilo","22","131","3.325811","-76.62851"
"Finca Manzanares","22","272","3.454752","-76.664406"
"PNN Farallones de Cali--Centro de Educación Ambiental El Topacio","22","326","3.317668","-76.63733"
"Km 55 'El Descanso' 'Doña Dora'","22","388","3.53493","-76.75348"
"Parque Natural Nacional - Los Farallones De Cali","21","21","3.521227","-76.585798"
"Ruta Nacional 19 1–83, Cali CO-Valle Del Cauca (3.5479,-76.6124)","21","21","3.547859","-76.6124"
"Straße 19, Umgebung von Kilometro Diez y Ocho","21","26","3.537237","-76.616982"
"PNR Nima","21","72","3.518333","-76.111667"
"Finca Alejandría","21","86","3.517454","-76.62097"
"Chicoral","21","88","3.56929","-76.58681"
"RN Comunitaria Galapagos","21","230","4.826362","-76.17891"
"Pico de Águila","21","235","3.314502","-76.60197"
"San Antonio VdelC","21","263","3.491349","-76.61801"
"Finca Villa Cielo","21","423","3.330906","-76.635544"
"PNN Farallones de Cali--El Topacio","21","446","3.323045","-76.633804"
"Recinto de Los Sueños","21","556","3.569693","-76.58859"
"Ecohotel El Diamante","21","976","3.893535","-76.22399"
"La Florida el bosque de las aves","20","20","3.526289","-76.616753"
"beiderseits der Straße El Queremal bis Dona Dora -km 55","20","28","3.527899","-76.741348"
"Hacienda Tokio--Antigua Antena Telecom","20","78","3.484265","-76.72657"
"Kilómetro 18","20","79","3.452013","-76.617386"
"Barragan","20","141","4.006225","-75.9044"
"Bajo Anchicayá--Zona de Cascada","20","154","3.625984","-76.94296"
"Finca Loma Linda","20","157","3.567943","-76.608505"
"Restaurante La Embajada de Ginebra","20","161","3.507658","-76.62016"
"El 18","20","179","3.517601","-76.62023"
"Bichacue Yath Arte y Naturaleza","20","190","3.454595","-76.634544"
"La Cabaña de Chicoral (acceso restringido)","20","231","3.568213","-76.5855"
"Villa de Aurora (Acceso Restringido)","20","252","3.54391","-76.580795"
"Alto Dapa--Arroyohondito","20","265","3.555287","-76.57913"
"Reserva Privada El Paraíso (acceso restringido)","20","285","3.63442","-76.83559"
"RN Aguaclara","20","318","3.67014","-76.94476"
"Alto San Luis","20","402","3.478467","-76.652985"
"Finca Alejandría Km 18","19","19","3.539353","-76.60545"
"Km 18 Via Cali - Buenaventura","19","19","3.564963","-76.756243"
"Avistamiento de Aves Doña Dora","19","33","3.532539","-76.75348"
"Reserva Natural Madhú, Las Brisas","19","81","3.631589","-76.15499"
"Hacienda Los Morales","19","102","3.57902","-76.570755"
"Vereda El pato, Valle del Cauca, CO (3,327, -76,644)","19","106","3.327496","-76.64419"
"Represa Alto Anchicayá","19","113","3.534821","-76.867645"
"PNN Farallones de Cali--La Esmeralda-Pichindé","19","121","3.443862","-76.62638"
"Villa de Aurora, Dapa","19","133","3.54385","-76.58086"
"Sendero Ecológico Aguas Lindas","19","135","4.56904","-76.211876"
"Río Cali","19","138","3.451168","-76.66905"
"Robert Oelman's","19","147","3.56285","-76.60413"
"Km 18","19","153","3.51743","-76.65118"
"Vereda Alaska","19","173","3.891519","-76.18238"
"Finca La Esmeralda CO-Valle Del Cauca-Santiago De Cali - 3.4439x-76.6265","19","310","3.443945","-76.62656"
"Anchicayá Nature Camp","19","564","3.575717","-76.879555"
"Ecolodge La Minga","18","18","3.566374","-76.58527"
"Vereda Río Bravo","18","23","3.941417","-76.56303"
"Bosque Finca Alejandria Km. 18","18","37","3.540228","-76.60424"
"Reserva Natural Mi Universo","18","47","3.536509","-76.60704"
"Parque Nacional Natural Farallones de Cali","18","47","3.337594","-76.64689"
"Vereda El Diamante","18","51","3.457618","-76.663185"
"Residencia de Mazariegos (acceso restringido)","18","52","3.654701","-76.685"
"Reserva Natural Bachué - Fundación Farallones","18","105","3.330756","-76.65393"
"Finca Florida El Bosque De Las Aves Kilómetro 18 Vía Al Mar","18","120","3.527865","-76.6168"
"El Descanso","18","132","3.51542","-76.75357"
"Finca Lolita","18","172","3.498043","-76.627945"
"Carretera Vieja Buenaventura--Km 80-115","18","217","3.716829","-76.974945"
"ICESI Station (restricted access)- Parque Nacional Natural Farallones de Cali","18","243","3.441021","-76.66275"
"National Park Natural Farallones De Cali, Santiago De Cali CO-Valle Del Cauca (3.4419,-76.6628)","18","271","3.441874","-76.66279"
"Microcuenca Quebrada Pericos","18","285","3.84864","-76.78737"
"El Nido del Bosque","18","316","3.528737","-76.61609"
"Central hidroelecrica alto anchicaya","18","748","3.54127","-76.895633"
"Cerro El Trueno","17","17","3.33202","-76.62488"
"Vía sin nombre, Valle del Cauca, CO (3,496, -76,578)","17","17","3.49562","-76.577644"
"Balcon de los colibries","17","17","3.326914","-76.621185"
"San José del Salado","17","25","3.564338","-76.723922"
"Finca La Florida","17","29","3.521615","-76.6174"
"Vereda Buenos Aires","17","29","3.88183","-76.588583"
"Peñas blancas","17","30","3.430791","-76.627266"
"Vereda San Pablo Km 18","17","33","3.513062","-76.62281"
"Unnamed Road, Valle del Cauca, CO (3.539, -76.606)","17","43","3.539247","-76.60606"
"Km18 ,S.","17","45","3.541597","-76.60293"
"La Minga","17","45","3.566485","-76.58537"
"Reserva Forestal del Pacífico","17","56","3.537858","-76.62163"
"La Minga Eco-Lodge","17","73","3.566402","-76.58528"
"Alto Pance","17","81","3.333961","-76.56079"
"Cantar del Bosque","17","84","3.539421","-76.604"
"Reserva Forestal del Río Bitaco","17","85","3.569236","-76.57944"
"Vereda Alejandría","17","117","3.767898","-76.06012"
"Colombia","17","154","3.4493","-76.9301"
"Comederos de Doña Dora (3.5346,-76.7535)","17","216","3.534586","-76.75353"
"Casa Blanca Buga Alaska Al Rural","17","395","3.894965","-76.18042"
"Finca Florida-El Bosque de las aves","16","16","3.526207","-76.616585"
"finca bosque de niebla","16","16","3.530065","-76.61252"
"Valle del Cauca, CO (3,539, -76,607)","16","16","3.539372","-76.60677"
"Peñas Blancas","16","23","3.425138","-76.65821"
"Cerro de Peñas Blancas","16","25","3.43216","-76.66904"
"La Cabana","16","28","3.504183","-76.61948"
"La minga chicoral","16","30","3.566313","-76.58528"
