"sector_rural_cod","emberas","nasas","wounann","pastoss","yanaconas","ingas","hummingbird_richness"
"762333008","CALI",6,0,0,0,0,"53"
"760013001","CALI",9,0,0,7,1,"52"
"760013005","CALI",2,0,0,0,0,"47"
"760013002","CALI",14,0,0,4,0,"47"
"761263004","CALIMA",0,0,0,0,0,"46"
"762483003","BUGA",3,0,0,0,0,"44"
"760013003","CALI",12,0,0,10,0,"44"
"762333005","DAGUA",20,0,0,0,0,"44"
"762463001","ANSERMANUEVO",0,0,0,0,0,"43"
"762333006","LA CUMBRE",13,0,0,2,0,"43"
"763773002","CALI",16,0,0,0,0,"43"
"762333009","CALI",6,0,0,4,0,"42"
"765203007","EL CERRITO",0,0,0,0,0,"41"
"761473002","CARTAGO",0,0,0,0,0,"41"
"761263003","CALIMA",0,0,0,0,0,"39"
"760011000","CALI",29,0,1,5,0,"37"
"762333001","CALIMA",9,0,0,0,0,"36"
"762333002","CALIMA",2,0,1,1,0,"36"
"760013004","CALI",1,0,3,0,0,"36"
"762463002","ARGELIA",0,0,0,0,0,"36"
"768923002","CALI",2,0,7,52,9,"35"
"763643005","CALI",5,0,0,0,0,"34"
"761093024","DAGUA",0,0,0,0,0,"33"
"762483004","BUGA",0,0,0,0,0,"33"
"761113003","BUGA",5,0,0,0,0,"33"
"761263001","CALIMA",0,0,0,0,0,"32"
"768903002","BUGA",1,0,0,0,0,"32"
"761093025","DAGUA",0,0,0,0,0,"31"
"761113004","BUGA",3,0,0,0,0,"30"
"761113002","BUGA",5,0,0,0,0,"30"
"765633002","FLORIDA",138,0,0,0,0,"30"
"761263002","CALIMA",0,0,0,0,1,"30"
"761093027","BUENAVENTURA",NULL,NULL,NULL,NULL,NULL,"28"
"763063003","BUGA",15,0,0,0,0,"28"
"761093026","DAGUA",0,0,0,0,0,"28"
"761093021","BUENAVENTURA",1,79,0,0,1,"26"
"767363005","SEVILLA",0,0,0,0,0,"26"
"761093020","BUENAVENTURA",0,2,0,0,0,"25"
"766163001","CALIMA",0,0,2,0,0,"24"
"766063002","CALIMA",5,0,0,0,0,"24"
"765203006","EL CERRITO",0,0,0,2,0,"24"
"761113005","BUGA",0,0,0,0,0,"23"
"762433001","ANSERMANUEVO",0,0,0,0,0,"23"
"768903001","BUGA",1,0,0,0,0,"23"
"762333003","LA CUMBRE",153,0,0,0,0,"22"
"768633002","ARGELIA",0,0,0,0,0,"22"
"762483002","EL CERRITO",5,0,0,0,0,"22"
"768343007","BUGA",0,0,0,0,0,"21"
