"scientific_name","family","taxonrank","gbif_rec"
"BOLD:AAC1673","Apidae","UNRANKED","288"
"Apis mellifera Linnaeus, 1758","Apidae","SPECIES","80"
"BOLD:AAC0547","Apidae","UNRANKED","62"
"Tetragonisca angustula (Latreille, 1811)","Apidae","SPECIES","60"
"BOLD:AAC0545","Apidae","UNRANKED","51"
"Pereirapis semiaurata (Spinola, 1851)","Halictidae","SPECIES","47"
"BOLD:AAD1076","Apidae","UNRANKED","31"
"Hylaeus Fabricius, 1793","Colletidae","GENUS","31"
"Ceratina Latreille, 1802","Apidae","GENUS","25"
"Partamona peckolti (Friese, 1901)","Apidae","SPECIES","25"
"Apidae","Apidae","FAMILY","24"
"Euglossa Latreille, 1802","Apidae","GENUS","23"
"Eulaema cingulata (Fabricius, 1804)","Apidae","SPECIES","21"
"Pseudaugochlora Michener, 1954","Halictidae","GENUS","21"
"BOLD:AAD5784","Apidae","UNRANKED","19"
"Eulaema nigrita Lepeletier, 1841","Apidae","SPECIES","16"
"BOLD:AAC9823","Apidae","UNRANKED","15"
"BOLD:AAE4842","Apidae","UNRANKED","14"
"Xylocopa frontalis (Olivier, 1789)","Apidae","SPECIES","14"
"Euglossa variabilis Friese, 1899","Apidae","SPECIES","13"
"BOLD:AAD6570","Apidae","UNRANKED","11"
"Augochloropsis Cockerell, 1897","Halictidae","GENUS","11"
"Dialictus Robertson, 1902","Halictidae","GENUS","11"
"Scaptotrigona ederi Engel, 2022","Apidae","SPECIES","10"
"BOLD:AEF5687","Apidae","UNRANKED","9"
"BOLD:AAD7618","Apidae","UNRANKED","9"
"BOLD:AAE3550","Apidae","UNRANKED","9"
"Agapostemon nasutus Smith, 1853","Halictidae","SPECIES","9"
"Exaerete smaragdina (Guérin-Méneville, 1844)","Apidae","SPECIES","9"
"Bombus hortulanus Friese, 1904","Apidae","SPECIES","9"
"Xylocopa Latreille, 1802","Apidae","GENUS","8"
"Colletes rutilans Vachal, 1909","Colletidae","SPECIES","8"
"Euglossa deceptrix Moure, 1968","Apidae","SPECIES","8"
"Megachile Latreille, 1802","Megachilidae","GENUS","7"
"BOLD:ABY5852","Apidae","UNRANKED","7"
"BOLD:ABY7873","Apidae","UNRANKED","7"
"BOLD:AEF2797","Apidae","UNRANKED","7"
"Colletes Latreille, 1802","Colletidae","GENUS","7"
"BOLD:AED3569","Apidae","UNRANKED","6"
"Thygater Holmberg, 1884","Apidae","GENUS","6"
"Dicranthidium colombiae (H.F.Schwarz, 1933)","Megachilidae","SPECIES","6"
"Agapostemon semimelleus Cockerell, 1900","Halictidae","SPECIES","6"
"Epicharis rustica (Olivier, 1789)","Apidae","SPECIES","6"
"Megaloptina Eickwort, 1969","Halictidae","GENUS","6"
"Plebeia Schwarz, 1938","Apidae","GENUS","5"
"Neocorynura Schrottky, 1879","Halictidae","GENUS","5"
"Melipona nigrescens Friese, 1900","Apidae","SPECIES","5"
"BOLD:AED1303","Apidae","UNRANKED","5"
"BOLD:AEF2057","Apidae","UNRANKED","5"
"Centris similis (Fabricius, 1804)","Apidae","SPECIES","5"
"Trigona fulviventris Guérin-Méneville, 1844","Apidae","SPECIES","5"
"Centris facialis Mocsáry, 1899","Apidae","SPECIES","5"
"BOLD:AAC6324","Apidae","UNRANKED","5"
"Eulaema Lepeletier, 1841","Apidae","GENUS","4"
"Paratrigona lophocoryphe Moure, 1963","Apidae","SPECIES","4"
"Halictidae","Halictidae","FAMILY","3"
"BOLD:AAC6308","Apidae","UNRANKED","3"
"BOLD:AAE4635","Apidae","UNRANKED","3"
"BOLD:AAM5237","Apidae","UNRANKED","3"
"BOLD:AAY3127","Apidae","UNRANKED","3"
"Bombus pauloensis Friese, 1912","Apidae","SPECIES","3"
"Centris analis (Fabricius, 1804)","Apidae","SPECIES","3"
"Centris flavifrons (Fabricius, 1775)","Apidae","SPECIES","3"
"Eulaema meriana (Olivier, 1789)","Apidae","SPECIES","3"
"Eulaema polychroma (Friese, 1899)","Apidae","SPECIES","3"
"Eulaema polychroma (Mocsáry, 1899)","Apidae","SPECIES","3"
"Microsphecodes trichommus Michener, 1979","Halictidae","SPECIES","3"
"Microsphecodes truncaticaudus Michener, 1979","Halictidae","SPECIES","3"
"Parapartamona Schwarz, 1948","Apidae","GENUS","3"
"Paratrigona rinconi Camargo & Moure, 1994","Apidae","SPECIES","3"
"Partamona aequatoriana Camargo, 1980","Apidae","SPECIES","3"
"Scaptotrigona Moure, 1942","Apidae","GENUS","3"
"Xylocopa fimbriata Fabricius, 1804","Apidae","SPECIES","3"
"Eulaema sororia Dressler & Ospina-Torres, 1997","Apidae","SPECIES","2"
"BOLD:AEF4646","Apidae","UNRANKED","2"
"Exaerete frontalis (Guérin-Méneville, 1844)","Apidae","SPECIES","2"
"Megachilidae","Megachilidae","FAMILY","2"
"Caenohalictus Cameron, 1903","Halictidae","GENUS","2"
"BOLD:AEF4645","Apidae","UNRANKED","2"
"Exomalopsis penelope Cockerell, 1897","Apidae","SPECIES","2"
"Exomalopsis Spinola, 1853","Apidae","GENUS","2"
"BOLD:AAY3183","Apidae","UNRANKED","2"
"Habralictus bimaculatus Michener, 1979","Halictidae","SPECIES","2"
"Habralictus Moure, 1941","Halictidae","GENUS","2"
"Euglossa townsendi Cockerell, 1904","Apidae","SPECIES","2"
"Trigona Jurine, 1807","Apidae","GENUS","2"
"Xylocopa viridis Smith, 1854","Apidae","SPECIES","2"
"Agapostemon intermedius Roberts, 1972","Halictidae","SPECIES","2"
"Nannotrigona Cockerell, 1922","Apidae","GENUS","2"
"Nannotrigona mellaria (Smith, 1862)","Apidae","SPECIES","2"
"Nannotrigona occidentalis Jaramillo, Ospina-Torres & Gonzalez, 2019","Apidae","SPECIES","2"
"Coelioxys Latreille, 1809","Megachilidae","GENUS","2"
"Euglossa tridentata Moure, 1970","Apidae","SPECIES","2"
"Colletidae","Colletidae","FAMILY","2"
"BOLD:AAY3182","Apidae","UNRANKED","2"
"Centris Fabricius, 1804","Apidae","GENUS","2"
"Euglossa macrorhyncha Dressler, 1982","Apidae","SPECIES","2"
"Ceratina virescens Friese, 1910","Apidae","SPECIES","2"
"Anthidium sanguinicaudum H.F.Schwarz, 1933","Megachilidae","SPECIES","2"
"Euglossa crassipunctata Moure, 1968","Apidae","SPECIES","2"
"Lasioglossum breedi Michener, 1979","Halictidae","SPECIES","2"
"Paratrigona Schwarz, 1938","Apidae","GENUS","1"
"Xylocopa lateralis Say, 1837","Apidae","SPECIES","1"
"BOLD:AAY3125","Apidae","UNRANKED","1"
"Partamona Schwarz, 1939","Apidae","GENUS","1"
"Partamona zonata (Smith, 1854)","Apidae","SPECIES","1"
"BOLD:AAL4038","Apidae","UNRANKED","1"
"BOLD:AAI0323","Halictidae","UNRANKED","1"
"Pseudaugochlora graminea (Fabricius, 1804)","Halictidae","SPECIES","1"
"BOLD:AAD9729","Apidae","UNRANKED","1"
"Ptilotrigona occidentalis (Schulz, 1904)","Apidae","SPECIES","1"
"BOLD:AAC5226","Apidae","UNRANKED","1"
"Temnosoma Smith, 1853","Halictidae","GENUS","1"
"BOLD:AAC3172","Apidae","UNRANKED","1"
"Thygater crawfordi Urban, 1967","Apidae","SPECIES","1"
"Chilicola wygodzinskyi Michener, 2002","Colletidae","SPECIES","1"
"Chilicola ashmeadi (Crawford, 1906)","Colletidae","SPECIES","1"
"Chalicodoma otomita (Cresson, 1878)","Megachilidae","SPECIES","1"
"Epicharis Klug, 1807","Apidae","GENUS","1"
"Eufriesea rufocauda (Kimsey, 1977)","Apidae","SPECIES","1"
"Centris festiva Smith, 1854","Apidae","SPECIES","1"
"Centris lineolata Lepeletier, 1841","Apidae","SPECIES","1"
"Eulaema boliviensis Friese, 1898","Apidae","SPECIES","1"
"Bombus melaleucus Handlirsch, 1888","Apidae","SPECIES","1"
"Augochlora Smith, 1853","Halictidae","GENUS","1"
"Bombus Latreille, 1802","Apidae","GENUS","1"
"Trigona amalthea (Olivier, 1789)","Apidae","SPECIES","1"
"Bombus funebris Smith, 1854","Apidae","SPECIES","1"
"Agapostemon Guérin-Méneville, 1844","Halictidae","GENUS","1"
"Halictus Latreille, 1804","Halictidae","GENUS","1"
"Hoplostelis bilineolata (Spinola, 1841)","Megachilidae","SPECIES","1"
"Bombus excellens Smith, 1879","Apidae","SPECIES","1"
