"scientific_name","family","taxonrank","gbif_rec"
"Mangifera indica L.","Anacardiaceae","SPECIES","702"
"Pithecellobium dulce (Roxb.) Benth.","Fabaceae","SPECIES","581"
"Guazuma ulmifolia Lam.","Malvaceae","SPECIES","506"
"Senna spectabilis (DC.) H.S.Irwin & Barneby","Fabaceae","SPECIES","364"
"Swinglea glutinosa (Blanco) Merr.","Rutaceae","SPECIES","319"
"Jacaranda caucana Pittier","Bignoniaceae","SPECIES","230"
"Albizia saman (Jacq.) Merr.","Fabaceae","SPECIES","205"
"Plantae",NULL,"KINGDOM","201"
"Tabebuia rosea (Bertol.) Bertero ex A.DC.","Bignoniaceae","SPECIES","190"
"Clitoria fairchildiana R.A.Howard","Fabaceae","SPECIES","135"
"Leucaena leucocephala (Lam.) de Wit","Fabaceae","SPECIES","127"
"Caesalpinia pluviosa DC.","Fabaceae","SPECIES","107"
"Psidium guajava L.","Myrtaceae","SPECIES","97"
"Palicourea thyrsiflora (Ruiz & Pav.) DC.","Rubiaceae","SPECIES","94"
"Sapindus saponaria L.","Sapindaceae","SPECIES","88"
"Roystonea regia (Kunth) O.F.Cook","Arecaceae","SPECIES","83"
"Myrtaceae","Myrtaceae","FAMILY","76"
"Couroupita guianensis Aubl.","Lecythidaceae","SPECIES","73"
"Spathodea campanulata Beauverd","Bignoniaceae","SPECIES","73"
"Prestoea acuminata (Willd.) H.E.Moore","Arecaceae","SPECIES","71"
"Persea americana Mill.","Lauraceae","SPECIES","68"
"Inga edulis Mart.","Fabaceae","SPECIES","67"
"Guarea guidonia (L.) Sleumer","Meliaceae","SPECIES","66"
"Syzygium malaccense (L.) Merr. & L.M.Perry","Myrtaceae","SPECIES","66"
"Tillandsia recurvata (L.) L.","Bromeliaceae","SPECIES","62"
"Elaeis guineensis Jacq.","Arecaceae","SPECIES","59"
"Annona muricata L.","Annonaceae","SPECIES","58"
"Melicoccus bijugatus Jacq.","Sapindaceae","SPECIES","58"
"Catalpa longissima (Jacq.) Dum.Cours.","Bignoniaceae","SPECIES","56"
"Gliricidia sepium (Jacq.) Kunth","Fabaceae","SPECIES","55"
"Trigonobalanus excelsa Lozano, Hern.Cam. & Henao","Fagaceae","SPECIES","52"
