"scientific_name","family","taxonrank","gbif_rec"
"Artibeus lituratus (Olfers, 1818)","Phyllostomidae","SPECIES","1472"
"Carollia perspicillata (Linnaeus, 1758)","Phyllostomidae","SPECIES","1222"
"Dasyprocta punctata Gray, 1842","Dasyproctidae","SPECIES","1209"
"Lasiurus blossevillii (Lesson & Garnot, 1826)","Vespertilionidae","SPECIES","990"
"Glossophaga soricina (Pallas, 1766)","Phyllostomidae","SPECIES","818"
"Chiroptera",NULL,"ORDER","804"
"Saccopteryx bilineata (Temminck, 1838)","Emballonuridae","SPECIES","556"
"Didelphis marsupialis Linnaeus, 1758","Didelphidae","SPECIES","549"
"Carollia brevicaudum (Schinz, 1821)","Phyllostomidae","SPECIES","536"
"Dasypus novemcinctus Linnaeus, 1758","Dasypodidae","SPECIES","456"
"Myotis riparius Handley, 1960","Vespertilionidae","SPECIES","396"
"Peropteryx kappleri Peters, 1867","Emballonuridae","SPECIES","386"
"Dermanura phaeotis Miller, 1902","Phyllostomidae","SPECIES","356"
"Sturnira lilium (E.Geoffroy, 1810)","Phyllostomidae","SPECIES","327"
"Cuniculus paca (Linnaeus, 1766)","Cuniculidae","SPECIES","308"
"Molossus molossus (Pallas, 1766)","Molossidae","SPECIES","283"
"Melanomys caliginosus (Tomes, 1860)","Cricetidae","SPECIES","240"
"Nephelomys albigularis (Tomes, 1860)","Cricetidae","SPECIES","225"
"Molossus sinaloae J.A.Allen, 1906","Molossidae","SPECIES","225"
"Sciurus granatensis Humboldt, 1811","Sciuridae","SPECIES","223"
"Carollia castanea H.Allen, 1890","Phyllostomidae","SPECIES","203"
"Desmodus rotundus (E.Geoffroy, 1810)","Phyllostomidae","SPECIES","191"
"Cerdocyon thous (Linnaeus, 1766)","Canidae","SPECIES","177"
"Sturnira ludovici Anthony, 1924","Phyllostomidae","SPECIES","169"
"Potos flavus (Schreber, 1774)","Procyonidae","SPECIES","157"
"Platyrrhinus dorsalis (Thomas, 1900)","Phyllostomidae","SPECIES","156"
"Sturnira erythromos (Tschudi, 1844)","Phyllostomidae","SPECIES","156"
