"scientific_name","family","taxonrank","gbif_rec"
"Anolis ventrimaculatus Boulenger, 1911","Dactyloidae","SPECIES","458"
"Gonatodes albogularis (Duméril & Bibron, 1836)","Sphaerodactylidae","SPECIES","338"
"Anolis auratus Daudin, 1802","Dactyloidae","SPECIES","296"
"Anolis notopholis Boulenger, 1896","Dactyloidae","SPECIES","248"
"Anolis antonii Boulenger, 1908","Dactyloidae","SPECIES","211"
"Iguana iguana (Linnaeus, 1758)","Iguanidae","SPECIES","189"
"Anolis maculiventris Boulenger, 1898","Dactyloidae","SPECIES","147"
"Basiliscus galeritus Duméril, 1851","Corytophanidae","SPECIES","138"
"Lepidodactylus lugubris (Duméril & Bibron, 1836)","Gekkonidae","SPECIES","136"
"Lepidoblepharis duolepis Ayala & Castro, 1983","Sphaerodactylidae","SPECIES","109"
"Hemidactylus brookii Gray, 1845","Gekkonidae","SPECIES","101"
"Enyalioides heterolepis (Bocourt, 1874)","Hoplocercidae","SPECIES","100"
"Hemidactylus frenatus Duméril & Bibron, 1836","Gekkonidae","SPECIES","81"
"Micrurus mipartitus (Duméril, Bibron & Duméril, 1854)","Elapidae","SPECIES","70"
"Gonatodes albogularis fuscus (Hallowell, 1855)","Sphaerodactylidae","SUBSPECIES","69"
"Imantodes cenchoa (Linnaeus, 1758)","Colubridae","SPECIES","68"
"Anolis chloris Boulenger, 1898","Dactyloidae","SPECIES","63"
"Anolis granuliceps Boulenger, 1898","Dactyloidae","SPECIES","63"
"Anolis anchicayae Poe, Velasco, Miyata & Williams, 2009","Dactyloidae","SPECIES","60"
"Anolis Daudin, 1802","Dactyloidae","GENUS","60"
"Anolis latifrons Berthold, 1846","Dactyloidae","SPECIES","59"
"Bothrops asper (Garman, 1883)","Viperidae","SPECIES","59"
"Oxyrhopus petolarius (Linnaeus, 1758)","Colubridae","SPECIES","53"
"Erythrolamprus bizona Jan, 1863","Colubridae","SPECIES","51"
"Anolis eulaemus Boulenger, 1908","Dactyloidae","SPECIES","51"
"Anolis macrolepis Boulenger, 1911","Dactyloidae","SPECIES","49"
"Porthidium lansbergii (Schlegel, 1841)","Viperidae","SPECIES","46"
"Cercosaura vertebralis O'Shaughnessy, 1879","Gymnophthalmidae","SPECIES","45"
"Sibon nebulatus (Linnaeus, 1758)","Colubridae","SPECIES","42"
"Holcosus anomalus (Echternacht, 1977)","Teiidae","SPECIES","41"
"Anolis lyra Poe, Velasco, Miyata & Williams, 2009","Dactyloidae","SPECIES","37"
"Oxybelis brevirostris (Cope, 1861)","Colubridae","SPECIES","35"
"Lepidoblepharis peraccae Boulenger, 1908","Sphaerodactylidae","SPECIES","34"
"Ameiva ameiva (Linnaeus, 1758)","Teiidae","SPECIES","34"
"Geophis brachycephalus (Cope, 1871)","Colubridae","SPECIES","32"
"Leptodeira annulata (Linnaeus, 1758)","Colubridae","SPECIES","32"
"Leptophis ahaetulla (Linnaeus, 1758)","Colubridae","SPECIES","32"
"Spilotes pullatus (Linnaeus, 1758)","Colubridae","SPECIES","32"
"Ptychoglossus stenolepis (Boulenger, 1908)","Gymnophthalmidae","SPECIES","32"
"Cnemidophorus lemniscatus (Linnaeus, 1758)","Teiidae","SPECIES","31"
"Geophis betaniensis Restrepo & Wright, 1987","Colubridae","SPECIES","31"
"Porthidium nasutum (Bocourt, 1868)","Viperidae","SPECIES","31"
"Erythrolamprus epinephelus (Cope, 1862)","Colubridae","SPECIES","29"
"Pholidobolus vertebralis (O'Shaughnessy, 1879)","Gymnophthalmidae","SPECIES","29"
"Lampropeltis triangulum (Lacépède, 1789)","Colubridae","SPECIES","29"
"Basiliscus basiliscus (Linnaeus, 1758)","Corytophanidae","SPECIES","28"
"Echinosaura horrida Boulenger, 1890","Gymnophthalmidae","SPECIES","27"
