"scientific_name","family","taxonrank","gbif_rec"
"Euterpe oleracea Mart.","Arecaceae","SPECIES","4350"
"Eugenia procera (Sw.) Poir.","Myrtaceae","SPECIES","4339"
"Oenocarpus bataua Mart.","Arecaceae","SPECIES","4030"
"Guazuma ulmifolia Lam.","Malvaceae","SPECIES","1775"
"Wettinia quinaria (O.F.Cook & Doyle) Burret","Arecaceae","SPECIES","1422"
"Rhizophora mangle L.","Rhizophoraceae","SPECIES","1280"
"Eugenia monticola (Sw.) DC.","Myrtaceae","SPECIES","1173"
"Welfia regia H.Wendl.","Arecaceae","SPECIES","1127"
"Anthurium Schott","Araceae","GENUS","953"
"Miconia Ruiz & Pav.","Melastomataceae","GENUS","951"
"Amyris pinnata Kunth","Rutaceae","SPECIES","947"
"Machaerium capote Triana ex Dugand","Fabaceae","SPECIES","837"
"Plantae",NULL,"KINGDOM","836"
"Guarea guidonia (L.) Sleumer","Meliaceae","SPECIES","811"
"Mangifera indica L.","Anacardiaceae","SPECIES","730"
"Chamaedorea tepejilote Liebm.","Arecaceae","SPECIES","716"
"Pithecellobium dulce (Roxb.) Benth.","Fabaceae","SPECIES","700"
"Guapira Aubl.","Nyctaginaceae","GENUS","686"
"Zanthoxylum schreberi (J.F.Gmel.) Reynel ex C.Nelson","Rutaceae","SPECIES","669"
"Brosimum alicastrum Sw.","Moraceae","SPECIES","667"
"Cupania americana L.","Sapindaceae","SPECIES","663"
"Euterpe precatoria Mart.","Arecaceae","SPECIES","648"
"Pterocarpus officinalis Jacq.","Fabaceae","SPECIES","617"
"Ammandra decasperma O.F.Cook","Arecaceae","SPECIES","609"
"Manihot esculenta Crantz","Euphorbiaceae","SPECIES","608"
"Pithecellobium lanceolatum (Humb. & Bonpl. ex Willd.) Benth.","Fabaceae","SPECIES","580"
"Socratea exorrhiza (Mart.) H.Wendl.","Arecaceae","SPECIES","534"
"Piper L.","Piperaceae","GENUS","524"
"Nectandra Rol. ex Rottb.","Lauraceae","GENUS","524"
"Wettinia radiata (O.F.Cook & Doyle) R.Bernal","Arecaceae","SPECIES","506"
"Lauraceae","Lauraceae","FAMILY","500"
"Senna spectabilis (DC.) H.S.Irwin & Barneby","Fabaceae","SPECIES","485"
"Ocotea Aubl.","Lauraceae","GENUS","485"
"Myrsine guianensis (Aubl.) Kuntze","Primulaceae","SPECIES","485"
"Piper aduncum L.","Piperaceae","SPECIES","475"
"Clusia L.","Clusiaceae","GENUS","471"
"Nectandra turbacensis (Kunth) Nees","Lauraceae","SPECIES","469"
"Ocotea veraguensis (Meisn.) Mez","Lauraceae","SPECIES","468"
"Rhizophora ×harrisonii Leechm.","Rhizophoraceae","SPECIES","467"
"Musa ×paradisiaca L.","Musaceae","SPECIES","458"
"Eugenia biflora (L.) DC.","Myrtaceae","SPECIES","437"
"Inga Mill.","Fabaceae","GENUS","433"
"Melastomataceae","Melastomataceae","FAMILY","424"
"Philodendron Schott","Araceae","GENUS","420"
"Citharexylum kunthianum Moldenke","Verbenaceae","SPECIES","416"
"Astrocaryum standleyanum L.H.Bailey","Arecaceae","SPECIES","405"
"Achatocarpus nigricans Triana","Achatocarpaceae","SPECIES","353"
"Palicourea Aubl.","Rubiaceae","GENUS","344"
"Trichilia pallida Sw.","Meliaceae","SPECIES","330"
"Pelliciera rhizophorae Triana & Planch.","Tetrameristaceae","SPECIES","328"
"Swinglea glutinosa (Blanco) Merr.","Rutaceae","SPECIES","325"
"Eugenia L.","Myrtaceae","GENUS","319"
"Sapindus saponaria L.","Sapindaceae","SPECIES","316"
"Trichanthera gigantea (Bonpl.) Nees","Acanthaceae","SPECIES","311"
"Geonoma congesta H.Wendl.","Arecaceae","SPECIES","309"
"Lacistema aggregatum (P.J.Bergius) Rusby","Lacistemataceae","SPECIES","309"
"Guadua angustifolia Kunth","Poaceae","SPECIES","307"
"Hedyosmum bonplandianum Kunth","Chloranthaceae","SPECIES","298"
"Cupania L.","Sapindaceae","GENUS","294"
"Piper crassinervium Kunth","Piperaceae","SPECIES","294"
"Sorocea sprucei (Baill.) J.F.Macbr.","Moraceae","SPECIES","284"
"Eschweilera Mart. ex DC.","Lecythidaceae","GENUS","266"
"Coffea arabica L.","Rubiaceae","SPECIES","259"
"Solanum L.","Solanaceae","GENUS","249"
"Magnoliopsida",NULL,"CLASS","249"
"Hyospathe elegans Mart.","Arecaceae","SPECIES","244"
"Calliandra pittieri Standl.","Fabaceae","SPECIES","241"
"Jacaranda caucana Pittier","Bignoniaceae","SPECIES","238"
