"scientific_name","family","gbif_rec"
"Euterpe oleracea Mart.","Arecaceae","4350"
"Eugenia procera (Sw.) Poir.","Myrtaceae","4339"
"Oenocarpus bataua Mart.","Arecaceae","4030"
"Guazuma ulmifolia Lam.","Malvaceae","1775"
"Wettinia quinaria (O.F.Cook & Doyle) Burret","Arecaceae","1422"
"Rhizophora mangle L.","Rhizophoraceae","1280"
"Eugenia monticola (Sw.) DC.","Myrtaceae","1173"
"Welfia regia H.Wendl.","Arecaceae","1127"
"Anthurium Schott","Araceae","953"
"Miconia Ruiz & Pav.","Melastomataceae","951"
"Amyris pinnata Kunth","Rutaceae","947"
"Machaerium capote Triana ex Dugand","Fabaceae","837"
"Plantae",NULL,"836"
"Guarea guidonia (L.) Sleumer","Meliaceae","811"
"Mangifera indica L.","Anacardiaceae","730"
"Chamaedorea tepejilote Liebm.","Arecaceae","716"
"Pithecellobium dulce (Roxb.) Benth.","Fabaceae","700"
"Guapira Aubl.","Nyctaginaceae","686"
"Zanthoxylum schreberi (J.F.Gmel.) Reynel ex C.Nelson","Rutaceae","669"
"Brosimum alicastrum Sw.","Moraceae","667"
"Cupania americana L.","Sapindaceae","663"
"Euterpe precatoria Mart.","Arecaceae","648"
"Pterocarpus officinalis Jacq.","Fabaceae","617"
"Ammandra decasperma O.F.Cook","Arecaceae","609"
"Manihot esculenta Crantz","Euphorbiaceae","608"
"Pithecellobium lanceolatum (Humb. & Bonpl. ex Willd.) Benth.","Fabaceae","580"
"Socratea exorrhiza (Mart.) H.Wendl.","Arecaceae","534"
"Piper L.","Piperaceae","524"
"Nectandra Rol. ex Rottb.","Lauraceae","524"
"Wettinia radiata (O.F.Cook & Doyle) R.Bernal","Arecaceae","506"
"Lauraceae","Lauraceae","500"
"Senna spectabilis (DC.) H.S.Irwin & Barneby","Fabaceae","485"
"Ocotea Aubl.","Lauraceae","485"
"Myrsine guianensis (Aubl.) Kuntze","Primulaceae","485"
"Piper aduncum L.","Piperaceae","475"
"Clusia L.","Clusiaceae","471"
"Nectandra turbacensis (Kunth) Nees","Lauraceae","469"
"Ocotea veraguensis (Meisn.) Mez","Lauraceae","468"
"Rhizophora ×harrisonii Leechm.","Rhizophoraceae","467"
"Musa ×paradisiaca L.","Musaceae","458"
"Eugenia biflora (L.) DC.","Myrtaceae","437"
"Inga Mill.","Fabaceae","433"
"Melastomataceae","Melastomataceae","424"
"Philodendron Schott","Araceae","420"
"Citharexylum kunthianum Moldenke","Verbenaceae","416"
"Astrocaryum standleyanum L.H.Bailey","Arecaceae","405"
"Achatocarpus nigricans Triana","Achatocarpaceae","353"
"Palicourea Aubl.","Rubiaceae","344"
"Trichilia pallida Sw.","Meliaceae","330"
"Pelliciera rhizophorae Triana & Planch.","Tetrameristaceae","328"
"Swinglea glutinosa (Blanco) Merr.","Rutaceae","325"
"Eugenia L.","Myrtaceae","319"
"Sapindus saponaria L.","Sapindaceae","316"
