"municipality","pob_embera","pob_nasa","pob_wounan","pob_pastos","pob_yanaconas","pob_ingas"
"BOLÍVAR","0","0","0","0","0","0"
"LA VICTORIA","0","0","0","0","0","0"
"VERSALLES","0","0","0","0","0","0"
"ULLOA","0","0","0","0","0","0"
"VIJES","0","1","0","0","0","0"
"BUENAVENTURA","0","2","1898","0","0","1"
"LA CUMBRE","0","166","0","0","2","0"
"FLORIDA","0","3588","0","6","2","0"
"EL CAIRO","1","1","0","1","0","0"
"ZARZAL","1","4","0","2","1","0"
"TULUÁ","1","5","0","0","0","1"
"GUACARÍ","1","11","0","21","0","0"
"PRADERA","1","15","0","2","7","0"
"PALMIRA","1","109","48","1","9","0"
"DAGUA","1","417","18","1","4","0"
"SAN PEDRO","2","1","0","0","0","0"
"GINEBRA","2","65","0","4","6","0"
"CANDELARIA","2","424","0","78","3","10"
"RESTREPO","4","1","0","0","2","0"
"JAMUNDÍ","9","995","0","1","2","0"
"TORO","12","0","0","0","0","0"
"EL ÁGUILA","13","0","0","0","0","0"
"TRUJILLO","18","0","0","0","0","0"
"CALI","24","210","0","34","98","10"
"ALCALÁ","34","18","0","2","28","2"
"OBANDO","37","0","0","0","3","0"
"YOTOCO","39","0","0","0","0","0"
"LA UNIÓN","62","2","0","0","1","0"
"CARTAGO","85","4","0","0","3","3"
"ROLDANILLO","102","3","0","2","0","0"
"CAICEDONIA","113","3","0","0","2","0"
"EL CERRITO","152","50","0","6","7","0"
"SEVILLA","154","3","0","0","0","0"
"BUGA","206","82","0","3","6","0"
"BUGALAGRANDE","231","6","0","0","0","0"
"ARGELIA","245","1","0","0","0","0"
"CALIMA","264","418","179","5","4","45"
"RIOFRÍO","489","12","0","4","0","3"
"ANSERMANUEVO","504","8","0","0","0","0"
"ANDALUCÍA","567","6","0","0","0","7"
"EL DOVIO","801","25","0","0","0","0"
